event_id,channel,type,min,max,std
traindata_20181002_160753,aBD11Az,accel,-1.3396706884333178,1.4272617550711206,0.11101909775357595
traindata_20181002_160753,aBD17Ay,accel,,,
traindata_20181002_160753,aBD17Az,accel,-1.5476442444926541,1.5419807146281763,0.12529925957448307
traindata_20181002_160753,aBD17Cz,accel,,,
traindata_20181002_160753,aBD23Ay,accel,,,
traindata_20181002_160753,aBD23Az,accel,,,
traindata_20181002_160753,aAR0910Ay,accel,,,
traindata_20181002_160753,aAR0910Cy,accel,,,
traindata_20181002_160753,aAR1516Ay,accel,,,
traindata_20181002_160753,aAR1516Cy,accel,,,
traindata_20181002_160753,aAR2122Ay,accel,,,
traindata_20181002_160753,aAR2122Cy,accel,,,
traindata_20181002_160753,sgBD1011A,strain,-2.3803082203307016e-06,2.2015777844098795e-05,4.333661725366582e-06
traindata_20181002_160753,sgBD1415A,strain,-2.458792947871883e-06,1.7837885896178666e-05,3.51404537228425e-06
traindata_20181002_160753,sgBD1718A,strain,,,
traindata_20181002_160753,sgBD1718C,strain,-1.5217921627408139e-06,2.7058768511157948e-05,6.5920017333751365e-06
traindata_20181002_160753,sgBD2324AB,strain,,,
traindata_20181002_160753,sgBD2324AT,strain,,,
traindata_20181002_160753,sgBD2324C,strain,-9.241943088906125e-07,2.165095596136455e-05,5.155536643307653e-06
traindata_20181002_160753,sgBD2728A,strain,-9.73250531502237e-07,5.419278381008693e-05,1.234717374719455e-05
traindata_20181002_160753,sgDI20ALB,strain,,,
traindata_20181002_160753,sgDI20ALL,strain,,,
traindata_20181002_160753,sgDI23ALB,strain,,,
traindata_20181002_160753,sgDI23ALL,strain,,,
traindata_20181002_160753,sgRABB,strain,,,
traindata_20181002_160753,sgRABL,strain,,,
traindata_20181002_160753,sgRAAB,strain,,,
traindata_20181002_160753,sgRAAL,strain,,,
traindata_20181003_070820,aBD11Az,accel,-1.5660790280486596,1.5278965249361716,0.10962891246221504
traindata_20181003_070820,aBD17Ay,accel,,,
traindata_20181003_070820,aBD17Az,accel,-1.4652534142777374,1.4990264492742869,0.12147569078559112
traindata_20181003_070820,aBD17Cz,accel,,,
traindata_20181003_070820,aBD23Ay,accel,,,
traindata_20181003_070820,aBD23Az,accel,,,
traindata_20181003_070820,aAR0910Ay,accel,,,
traindata_20181003_070820,aAR0910Cy,accel,,,
traindata_20181003_070820,aAR1516Ay,accel,,,
traindata_20181003_070820,aAR1516Cy,accel,,,
traindata_20181003_070820,aAR2122Ay,accel,,,
traindata_20181003_070820,aAR2122Cy,accel,,,
traindata_20181003_070820,sgBD1011A,strain,-2.0872697843861377e-06,2.1694620996200344e-05,4.247224764075812e-06
traindata_20181003_070820,sgBD1415A,strain,-2.06021291758961e-06,1.8235306322389455e-05,3.4592975427231246e-06
traindata_20181003_070820,sgBD1718A,strain,,,
traindata_20181003_070820,sgBD1718C,strain,-1.6584402498506573e-06,3.063029076599827e-05,7.27580218038644e-06
traindata_20181003_070820,sgBD2324AB,strain,,,
traindata_20181003_070820,sgBD2324AT,strain,,,
traindata_20181003_070820,sgBD2324C,strain,-2.120711895521089e-06,2.4284696503541e-05,5.705316104391308e-06
traindata_20181003_070820,sgBD2728A,strain,-9.260930368547512e-07,5.5416465268297576e-05,1.2795105262137924e-05
traindata_20181003_070820,sgDI20ALB,strain,,,
traindata_20181003_070820,sgDI20ALL,strain,,,
traindata_20181003_070820,sgDI23ALB,strain,,,
traindata_20181003_070820,sgDI23ALL,strain,,,
traindata_20181003_070820,sgRABB,strain,,,
traindata_20181003_070820,sgRABL,strain,,,
traindata_20181003_070820,sgRAAB,strain,,,
traindata_20181003_070820,sgRAAL,strain,,,
traindata_20181003_160613,aBD11Az,accel,-1.0885948943828971,1.2303881069016653,0.09875144804625632
traindata_20181003_160613,aBD17Ay,accel,,,
traindata_20181003_160613,aBD17Az,accel,-1.7104304294252142,1.1090753737114105,0.11066804271778372
traindata_20181003_160613,aBD17Cz,accel,,,
traindata_20181003_160613,aBD23Ay,accel,,,
traindata_20181003_160613,aBD23Az,accel,,,
traindata_20181003_160613,aAR0910Ay,accel,,,
traindata_20181003_160613,aAR0910Cy,accel,,,
traindata_20181003_160613,aAR1516Ay,accel,,,
traindata_20181003_160613,aAR1516Cy,accel,,,
traindata_20181003_160613,aAR2122Ay,accel,,,
traindata_20181003_160613,aAR2122Cy,accel,,,
traindata_20181003_160613,sgBD1011A,strain,-1.8269643142558264e-06,2.4046896736459048e-05,5.325454675562316e-06
traindata_20181003_160613,sgBD1415A,strain,-2.5627000217458447e-06,1.9394281321239305e-05,4.256665268852318e-06
traindata_20181003_160613,sgBD1718A,strain,,,
traindata_20181003_160613,sgBD1718C,strain,-2.0910236607657337e-06,2.5376592605824664e-05,5.772560307960027e-06
traindata_20181003_160613,sgBD2324AB,strain,,,
traindata_20181003_160613,sgBD2324AT,strain,,,
traindata_20181003_160613,sgBD2324C,strain,-2.5976311847039114e-06,2.0393779513461978e-05,4.699356656730252e-06
traindata_20181003_160613,sgBD2728A,strain,-1.014205860411116e-06,5.2698758556190276e-05,1.2367311131891124e-05
traindata_20181003_160613,sgDI20ALB,strain,,,
traindata_20181003_160613,sgDI20ALL,strain,,,
traindata_20181003_160613,sgDI23ALB,strain,,,
traindata_20181003_160613,sgDI23ALL,strain,,,
traindata_20181003_160613,sgRABB,strain,,,
traindata_20181003_160613,sgRABL,strain,,,
traindata_20181003_160613,sgRAAB,strain,,,
traindata_20181003_160613,sgRAAL,strain,,,
traindata_20181004_070210,aBD11Az,accel,-1.60800067958959,1.6763241625695793,0.08654806041336899
traindata_20181004_070210,aBD17Ay,accel,,,
traindata_20181004_070210,aBD17Az,accel,-1.2181514705228538,1.255168492935454,0.0929391709923262
traindata_20181004_070210,aBD17Cz,accel,,,
traindata_20181004_070210,aBD23Ay,accel,,,
traindata_20181004_070210,aBD23Az,accel,,,
traindata_20181004_070210,aAR0910Ay,accel,,,
traindata_20181004_070210,aAR0910Cy,accel,,,
traindata_20181004_070210,aAR1516Ay,accel,,,
traindata_20181004_070210,aAR1516Cy,accel,,,
traindata_20181004_070210,aAR2122Ay,accel,,,
traindata_20181004_070210,aAR2122Cy,accel,,,
traindata_20181004_070210,sgBD1011A,strain,-1.0625142101064857e-06,2.312712993961485e-05,5.820732621721506e-06
traindata_20181004_070210,sgBD1415A,strain,-1.2733029857929892e-06,1.9873534368456417e-05,5.078945831068919e-06
traindata_20181004_070210,sgBD1718A,strain,,,
